Flow.size hash_size_cnt_500000
1 25991
2 43551
3 43800
4 50021
5 46829
6 44407
7 38699
8 33307
9 27846
10 22775
11 18189
12 14136
13 11432
14 9114
15 7318
16 5994
17 5161
18 4285
19 3699
20 3066
21 2524
22 2137
23 1821
24 1492
25 1234
26 966
27 891
28 705
29 651
30 516
31 438
32 417
33 334
34 294
35 262
36 213
37 202
38 157
39 135
40 134
41 128
42 102
43 88
44 65
45 66
46 54
47 48
48 34
49 37
50 37
51 44
52 19
53 40
54 36
55 33
56 24
57 22
58 23
59 16
60 21
61 16
62 11
63 14
64 15
65 12
66 9
67 9
68 11
69 5
70 13
71 6
72 10
73 12
74 9
75 3
76 4
77 11
78 9
79 4
80 6
81 6
82 3
84 7
85 3
86 2
88 2
89 4
91 3
93 1
94 0
95 2
96 1
100 1
102 1
104 1
107 1
112 1
127 0
128 0
129 0
133 1
134 1
135 0
138 1
140 0
141 1
142 1
176 0
192 0
199 0
363 0
378 0
379 0
383 0
388 0
393 0
83 2
87 3
90 2
92 2
97 0
98 2
99 1
101 0
103 0
105 2
106 2
108 1
109 0
110 0
111 1
113 0
114 0
115 0
116 0
117 0
118 0
119 0
120 0
121 0
122 0
123 0
125 0
126 0
130 0
131 0
132 1
143 2
144 1
146 1
154 0
155 0
158 0
161 0
162 0
164 0
169 0
170 0
171 0
175 0
187 0
188 0
211 0
241 0
249 0
385 1
413 0
418 0
424 0
426 0
437 0
137 1
148 1
150 1
151 1
152 1
177 1
202 2
364 1
389 2
390 1
395 1
136 0
139 0
147 0
198 0
366 0
382 0
387 0
394 0
200 0
381 0
