idx,Flow.size,flow_size_cnt,hash_size_cnt_100000,hash_size_cnt_500000,hash_size_cnt_750000,hash_size_cnt_1000000
0,1,544366.0,0,25991,71548,118397
1,2,615716.0,0,43551,106606,166641
2,3,151968.0,1,43800,85302,111875
3,4,113263.0,1,50021,84985,104771
4,5,31392.0,3,46829,66235,71161
5,6,15923.0,15,44407,54525,55520
6,7,8615.0,34,38699,41335,38400
7,8,6431.0,43,33307,31856,27710
8,9,4754.0,94,27846,23593,19531
9,10,3566.0,132,22775,17718,13591
10,11,3172.0,174,18189,13126,9925
11,12,3304.0,311,14136,9888,7387
12,13,3019.0,415,11432,7512,5687
13,14,3040.0,525,9114,5996,4658
14,15,4135.0,721,7318,4900,4197
15,16,3159.0,929,5994,4239,3716
16,17,1416.0,1153,5161,3555,3228
17,18,745.0,1325,4285,3083,2549
18,19,553.0,1617,3699,2590,2098
19,20,432.0,1851,3066,2105,1681
20,21,374.0,2111,2524,1690,1296
21,22,397.0,2397,2137,1369,1042
22,23,369.0,2569,1821,1148,893
23,24,279.0,2788,1492,927,681
24,25,296.0,2977,1234,816,583
25,26,258.0,3123,966,634,493
26,27,200.0,3237,891,563,408
27,28,180.0,3379,705,473,355
28,29,161.0,3392,651,399,284
29,30,173.0,3492,516,319,292
30,31,127.0,3542,438,299,239
31,32,119.0,3443,417,249,208
32,33,157.0,3340,334,234,215
33,34,64.0,3330,294,222,167
34,35,72.0,3157,262,167,145
35,36,50.0,3089,213,127,109
36,37,43.0,2959,202,152,93
37,38,29.0,2812,157,111,85
38,39,37.0,2620,135,90,78
39,40,15.0,2532,134,92,65
40,41,18.0,2414,128,62,54
41,42,20.0,2294,102,55,53
42,43,24.0,2033,88,50,43
43,44,20.0,1814,65,40,33
44,45,15.0,1885,66,44,14
45,46,19.0,1769,54,28,31
46,47,31.0,1630,48,34,36
47,48,34.0,1500,34,30,24
48,49,33.0,1307,37,38,33
49,50,29.0,1177,37,34,32
50,51,38.0,1141,44,29,41
51,52,11.0,1127,19,31,20
52,53,13.0,945,40,28,31
53,54,12.0,885,36,26,17
54,55,13.0,810,33,24,28
55,56,12.0,709,24,29,17
56,57,8.0,658,22,26,13
57,58,7.0,521,23,13,14
58,59,9.0,525,16,8,19
59,60,12.0,505,21,10,9
60,61,3.0,456,16,14,8
61,62,11.0,348,11,11,7
62,63,11.0,381,14,11,11
63,64,10.0,287,15,11,8
64,65,11.0,279,12,12,9
65,66,3.0,240,9,8,9
66,67,17.0,237,9,8,13
67,68,3.0,196,11,14,8
68,69,7.0,230,5,5,10
69,70,4.0,194,13,8,9
70,71,8.0,167,6,6,7
71,72,12.0,132,10,7,13
72,73,2.0,132,12,4,7
73,74,3.0,121,9,8,4
74,75,3.0,100,3,11,3
75,76,3.0,99,4,3,2
76,77,2.0,84,11,6,6
77,78,1.0,89,9,6,5
78,79,3.0,79,4,7,2
79,80,2.0,71,6,3,5
80,81,2.0,70,6,4,2
81,82,5.0,60,3,3,5
82,84,2.0,45,7,1,1
83,85,1.0,38,3,2,3
84,86,2.0,31,2,3,1
85,88,1.0,31,2,2,1
86,89,1.0,32,4,2,3
87,91,1.0,21,3,0,3
88,93,2.0,17,1,0,1
89,94,3.0,20,0,1,0
90,95,1.0,19,2,1,1
91,96,1.0,14,1,0,2
92,100,1.0,12,1,0,1
93,102,1.0,13,1,1,2
94,104,1.0,15,1,0,1
95,107,1.0,12,1,1,1
96,112,1.0,6,1,2,1
97,127,2.0,1,0,0,0
98,128,1.0,2,0,0,0
99,129,1.0,2,0,1,1
100,133,1.0,0,1,1,0
101,134,3.0,1,1,1,0
102,135,1.0,1,0,0,0
103,138,1.0,1,1,0,2
104,140,2.0,0,0,1,3
105,141,2.0,0,1,0,0
106,142,1.0,0,1,1,1
107,176,1.0,1,0,0,1
108,192,1.0,0,0,0,0
109,199,1.0,0,0,1,0
110,363,1.0,0,0,0,1
111,378,1.0,0,0,0,0
112,379,1.0,0,0,0,0
113,383,1.0,0,0,0,0
114,388,1.0,0,0,1,0
115,393,1.0,0,0,1,1
116,83,0.0,53,2,2,1
117,87,0.0,32,3,1,2
118,90,0.0,32,2,3,1
119,92,0.0,29,2,0,0
120,97,0.0,20,0,2,1
121,98,0.0,10,2,1,0
122,99,0.0,18,1,3,0
123,101,0.0,14,0,1,0
124,103,0.0,6,0,0,0
125,105,0.0,9,2,0,0
126,106,0.0,6,2,2,2
127,108,0.0,9,1,1,0
128,109,0.0,4,0,0,1
129,110,0.0,6,0,0,0
130,111,0.0,3,1,0,0
131,113,0.0,4,0,0,0
132,114,0.0,8,0,0,0
133,115,0.0,4,0,1,0
134,116,0.0,8,0,0,0
135,117,0.0,1,0,0,0
136,118,0.0,7,0,0,0
137,119,0.0,2,0,0,0
138,120,0.0,4,0,0,0
139,121,0.0,3,0,0,0
140,122,0.0,3,0,0,0
141,123,0.0,2,0,0,0
142,125,0.0,2,0,0,0
143,126,0.0,1,0,0,0
144,130,0.0,1,0,0,1
145,131,0.0,1,0,1,2
146,132,0.0,1,1,0,0
147,143,0.0,1,2,0,2
148,144,0.0,1,1,2,0
149,146,0.0,1,1,1,1
150,154,0.0,1,0,0,0
151,155,0.0,2,0,0,0
152,158,0.0,1,0,0,0
153,161,0.0,1,0,0,0
154,162,0.0,1,0,0,0
155,164,0.0,1,0,0,0
156,169,0.0,3,0,0,0
157,170,0.0,2,0,0,0
158,171,0.0,1,0,0,0
159,175,0.0,1,0,0,0
160,187,0.0,1,0,0,0
161,188,0.0,1,0,0,0
162,211,0.0,1,0,0,0
163,241,0.0,1,0,0,0
164,249,0.0,1,0,0,0
165,385,0.0,1,1,0,0
166,413,0.0,1,0,0,0
167,418,0.0,1,0,0,0
168,424,0.0,1,0,0,0
169,426,0.0,1,0,0,0
170,437,0.0,1,0,0,0
171,137,0.0,0,1,1,0
172,148,0.0,0,1,1,0
173,150,0.0,0,1,0,0
174,151,0.0,0,1,0,1
175,152,0.0,0,1,0,0
176,177,0.0,0,1,1,0
177,202,0.0,0,2,0,0
178,364,0.0,0,1,0,0
179,389,0.0,0,2,0,2
180,390,0.0,0,1,0,0
181,395,0.0,0,1,0,0
182,136,0.0,0,0,1,0
183,139,0.0,0,0,2,0
184,147,0.0,0,0,1,1
185,198,0.0,0,0,1,0
186,366,0.0,0,0,1,0
187,382,0.0,0,0,1,1
188,387,0.0,0,0,1,0
189,394,0.0,0,0,1,0
190,200,0.0,0,0,0,2
191,381,0.0,0,0,0,1
