Flow.size,recover_result
1,201831
2,264952
3,157794
4,134822
5,80147
6,55965.6
7,34059.3
8,21944.1
9,13911
10,8758.53
11,5964.56
12,4206.79
13,3126.84
14,2525.68
15,2307.86
16,2044.29
17,1756.14
18,1322.61
19,1054.22
20,812.071
21,596.65
22,465.822
23,398.286
24,291.852
25,250.704
26,212.538
27,174.789
28,154.371
29,121.51
30,133.211
31,107.393
32,93.3071
33,102.15
34,75.569
35,65.3672
36,46.8601
37,40.0124
38,37.509
39,35.2509
40,29.2869
41,24.2393
42,25.2336
43,20.3807
44,15.7037
45,5.94621
46,17.1567
47,22.3153
48,13.8832
49,22.0964
50,21.6473
51,31.7986
52,12.5298
53,22.7713
54,10.5494
55,20.6084
56,10.939
57,7.97885
58,9.0756
59,13.9655
60,5.46852
61,5.00578
62,4.46879
63,8.3632
64,5.75177
65,6.9185
66,7.02717
67,11.311
68,6.04912
69,8.00108
70,6.99552
71,4.95369
72,10.9226
73,4.78243
74,2.30755
75,1.68391
76,1.05876
77,4.46796
78,3.59256
79,1.07408
80,3.70867
81,1.10183
82,3.74486
83,0.474664
84,0.486706
85,2.17351
86,0.513509
87,1.34025
88,0.531931
89,2.33312
90,0.512181
91,2.28593
92,0
93,0.563529
94,0
95,0.622985
96,1.56545
97,0.593013
98,0
99,0
100,0.757572
101,0
102,1.88704
103,0
104,0.758202
105,0
106,1.73652
107,0.662423
108,0
109,0.600531
110,0
111,0
112,0.609393
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,1.3095
130,1.09198
131,2.03017
132,0
133,0
134,0
135,0
136,0
137,0
138,2.49226
139,0
140,3.43611
141,0
142,0.77068
143,1.78727
144,0
145,0
146,0.676651
147,0.629443
148,0
149,0
150,0
151,0.645852
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0.993624
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,1.99662
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,1.01126
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,1.15824
382,0.968403
383,0
384,0
385,0
386,0
387,0
388,0
389,2.08687
390,0
391,0
392,0
393,0.775232
