Flow.size,recover_result
1,49112.7
2,78846.9
3,75007.9
4,81082.4
5,70955.3
6,62691
7,50348.3
8,39730.2
9,30270.9
10,22436.2
11,16153.1
12,11241.4
13,8266.15
14,5986.95
15,4394.96
16,3326.22
17,2704.26
18,2096.24
19,1718.66
20,1334.62
21,1028.93
22,826.697
23,672.058
24,518.198
25,406.577
26,296.253
27,272.056
28,202.269
29,186.702
30,139.958
31,115.548
32,111.859
33,85.5873
34,74.67
35,66.4191
36,52.2424
37,50.7155
38,37.7563
39,32.2902
40,33.4305
41,32.9885
42,25.6199
43,22.2703
44,15.9064
45,17.1674
46,14.0543
47,12.8425
48,8.84437
49,10.3566
50,10.8293
51,14.856
52,5.40004
53,14.4244
54,13.1078
55,12.2003
56,8.42118
57,7.85432
58,8.70348
59,5.69631
60,8.44419
61,6.19903
62,4.02568
63,5.69669
64,6.49689
65,5.06401
66,3.66899
67,3.79891
68,5.11921
69,1.95364
70,6.81247
71,2.56436
72,5.07308
73,6.61074
74,4.59164
75,1.15423
76,1.66983
77,6.40964
78,4.93923
79,1.69065
80,2.9399
81,2.97871
82,1.20793
83,0.72745
84,3.90174
85,1.25158
86,0.741879
87,1.29383
88,0.756893
89,1.97423
90,0.770824
91,1.3719
92,0.803232
93,0.332979
94,0
95,0.898991
96,0.369589
97,0
98,1.00674
99,0.398963
100,0.413661
101,0
102,0.433194
103,0
104,0.432222
105,1.12955
106,1.10578
107,0.392887
108,0.389374
109,0
110,0
111,0.407736
112,0.415221
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,1.33853
133,1.28835
134,1.23345
135,0
136,0
137,1.16374
138,1.11678
139,0
140,0
141,1.02399
142,0.964984
143,2.07246
144,0.831763
145,0
146,0.750011
147,0
148,0.673778
149,0
150,0.598771
151,0.556696
152,0.520891
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0.937374
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,1.98218
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,1.03358
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,1.22687
386,0
387,0
388,0
389,2.12652
390,0.897174
391,0
392,0
393,0
394,0
395,0.715855
